service,API,endpoint,parsing
learn,Checks if a specific Screen-Recording video uploaded as assignment Learning Object exists.,GET | /learn/v1/assignment/upload/status,data:uploaded
learn,Checks if a specific Screen-Recording video uploaded as assignment Learning Object exists.,GET | /learn/v1/assignment/upload/status,version
learn,Checks if a specific Screen-Recording video uploaded as assignment Learning Object exists.,GET | /learn/v1/assignment/upload/status,_links:self:href
learn,Checks if a specific Screen-Recording video uploaded as assignment Learning Object exists.,GET | /learn/v1/assignment/upload/status,_links:goto:href
learn,Checks if a specific Screen-Recording video uploaded as assignment Learning Object exists.,GET | /learn/v1/assignment/upload/status,_links:first:href
learn,Checks if a specific Screen-Recording video uploaded as assignment Learning Object exists.,GET | /learn/v1/assignment/upload/status,_links:last:href
learn,Retrieves content of the given catalog,GET | /learn/v1/catalog_content/public/{catalog_id},data:items:0:data:count
learn,Retrieves content of the given catalog,GET | /learn/v1/catalog_content/public/{catalog_id},data:items:0:data:has_more_data
learn,Retrieves content of the given catalog,GET | /learn/v1/catalog_content/public/{catalog_id},data:items:0:data:cursor
learn,Retrieves content of the given catalog,GET | /learn/v1/catalog_content/public/{catalog_id},data:items:0:data:current_page
learn,Retrieves content of the given catalog,GET | /learn/v1/catalog_content/public/{catalog_id},data:items:0:data:total_page_count
learn,Retrieves content of the given catalog,GET | /learn/v1/catalog_content/public/{catalog_id},data:items:0:data:total_count
learn,Retrieves content of the given catalog,GET | /learn/v1/catalog_content/public/{catalog_id},data:items:0:data:sub_items:0:item_id
learn,Retrieves content of the given catalog,GET | /learn/v1/catalog_content/public/{catalog_id},data:items:0:data:sub_items:0:item_type
learn,Retrieves content of the given catalog,GET | /learn/v1/catalog_content/public/{catalog_id},data:items:0:data:sub_items:0:item_type_int
learn,Retrieves content of the given catalog,GET | /learn/v1/catalog_content/public/{catalog_id},data:items:0:data:sub_items:0:item_code
learn,Retrieves content of the given catalog,GET | /learn/v1/catalog_content/public/{catalog_id},data:items:0:data:sub_items:0:item_name
learn,Retrieves content of the given catalog,GET | /learn/v1/catalog_content/public/{catalog_id},data:items:0:data:sub_items:0:item_slug
learn,Retrieves content of the given catalog,GET | /learn/v1/catalog_content/public/{catalog_id},data:items:0:data:sub_items:0:item_description
learn,Retrieves content of the given catalog,GET | /learn/v1/catalog_content/public/{catalog_id},data:items:0:data:sub_items:0:item_category
learn,Retrieves content of the given catalog,GET | /learn/v1/catalog_content/public/{catalog_id},data:items:0:data:sub_items:0:item_language
learn,Retrieves content of the given catalog,GET | /learn/v1/catalog_content/public/{catalog_id},data:items:0:data:sub_items:0:item_language_code
learn,Retrieves content of the given catalog,GET | /learn/v1/catalog_content/public/{catalog_id},data:items:0:data:sub_items:0:item_language_label
learn,Retrieves content of the given catalog,GET | /learn/v1/catalog_content/public/{catalog_id},data:items:0:data:sub_items:0:item_create_date
learn,Retrieves content of the given catalog,GET | /learn/v1/catalog_content/public/{catalog_id},data:items:0:data:sub_items:0:number_of_courses
learn,Retrieves content of the given catalog,GET | /learn/v1/catalog_content/public/{catalog_id},data:items:0:data:sub_items:0:item_date_end
learn,Retrieves content of the given catalog,GET | /learn/v1/catalog_content/public/{catalog_id},data:items:0:data:sub_items:0:item_visibility
learn,Retrieves content of the given catalog,GET | /learn/v1/catalog_content/public/{catalog_id},data:items:0:data:sub_items:0:item_policy
learn,Retrieves content of the given catalog,GET | /learn/v1/catalog_content/public/{catalog_id},data:items:0:data:sub_items:0:item_can_enroll
learn,Retrieves content of the given catalog,GET | /learn/v1/catalog_content/public/{catalog_id},data:items:0:data:sub_items:0:is_opened
learn,Retrieves content of the given catalog,GET | /learn/v1/catalog_content/public/{catalog_id},data:items:0:data:sub_items:0:course_type
learn,Retrieves content of the given catalog,GET | /learn/v1/catalog_content/public/{catalog_id},data:items:0:data:sub_items:0:duration
learn,Retrieves content of the given catalog,GET | /learn/v1/catalog_content/public/{catalog_id},data:items:0:data:sub_items:0:waiting
learn,Retrieves content of the given catalog,GET | /learn/v1/catalog_content/public/{catalog_id},data:items:0:data:sub_items:0:item_rating
learn,Retrieves content of the given catalog,GET | /learn/v1/catalog_content/public/{catalog_id},data:items:0:data:sub_items:0:item_thumbnail
learn,Retrieves content of the given catalog,GET | /learn/v1/catalog_content/public/{catalog_id},data:items:0:data:sub_items:0:item_price
learn,Retrieves content of the given catalog,GET | /learn/v1/catalog_content/public/{catalog_id},data:items:0:data:sub_items:0:price_status
learn,Retrieves content of the given catalog,GET | /learn/v1/catalog_content/public/{catalog_id},data:items:0:data:sub_items:0:prices:currency_code
learn,Retrieves content of the given catalog,GET | /learn/v1/catalog_content/public/{catalog_id},data:items:0:data:sub_items:0:access_status
learn,Retrieves content of the given catalog,GET | /learn/v1/catalog_content/public/{catalog_id},data:items:0:data:sub_items:0:is_affiliate
learn,Retrieves content of the given catalog,GET | /learn/v1/catalog_content/public/{catalog_id},data:items:0:data:sub_items:0:is_user_subscribed
learn,Retrieves content of the given catalog,GET | /learn/v1/catalog_content/public/{catalog_id},data:items:0:data:sub_items:0:is_user_enrolled
learn,Retrieves content of the given catalog,GET | /learn/v1/catalog_content/public/{catalog_id},data:items:0:data:sub_items:0:is_new
